epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,55.9876,0.41316,0.76689,1,0.91779,0.000469982,0.000469982,0.000469982
2,104.914,0.24238,0.71622,1,5.06367,0.000936947,0.000936947,0.000936947
3,153.16,0.40322,0.69595,1,2.84067,0.00139448,0.00139448,0.00139448
4,203.094,0.44438,0.61486,1,2.05859,0.00138656,0.00138656,0.00138656
5,252.459,0.37035,0.88851,1,0.27531,0.00137241,0.00137241,0.00137241
6,301.949,0.3216,0.76689,1,0.99418,0.00135826,0.00135826,0.00135826
7,350.182,0.33534,0.78041,1,1.4378,0.00134412,0.00134412,0.00134412
8,398.199,0.294,0.75676,1,0.75684,0.00132997,0.00132997,0.00132997
9,446.144,0.32995,0.86486,1,0.4781,0.00131582,0.00131582,0.00131582
10,494.921,0.26122,0.71622,1,0.91207,0.00130168,0.00130168,0.00130168
11,542.857,0.23712,0.81757,1,0.45769,0.00128753,0.00128753,0.00128753
12,591.884,0.21361,0.66216,1,0.91746,0.00127338,0.00127338,0.00127338
13,639.901,0.19698,0.75,1,0.57582,0.00125923,0.00125923,0.00125923
14,687.155,0.22788,0.76689,1,0.75344,0.00124509,0.00124509,0.00124509
15,735.907,0.17843,0.80405,1,0.78437,0.00123094,0.00123094,0.00123094
16,783.14,0.20282,0.625,1,0.87074,0.00121679,0.00121679,0.00121679
17,829.095,0.2014,0.82432,1,0.46014,0.00120265,0.00120265,0.00120265
18,875.28,0.14626,0.71959,1,1.32884,0.0011885,0.0011885,0.0011885
19,923.709,0.17339,0.6723,1,1.1703,0.00117435,0.00117435,0.00117435
20,972.255,0.14475,0.75,1,0.99523,0.00116021,0.00116021,0.00116021
21,1018.71,0.15746,0.81419,1,0.73452,0.00114606,0.00114606,0.00114606
22,1066.05,0.19639,0.81419,1,0.46419,0.00113191,0.00113191,0.00113191
23,1112.44,0.14769,0.79392,1,0.70768,0.00111776,0.00111776,0.00111776
24,1158.66,0.12457,0.69932,1,1.37583,0.00110362,0.00110362,0.00110362
