epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,597.813,1.09317,2.18541,1.40812,0.92982,0.85347,0.89068,0.69011,0.79512,1.13553,1.07094,0.000415978,0.000415978,0.000415978
2,1424.67,1.08876,1.06171,1.37469,0.78051,0.61893,0.66556,0.50704,0.81399,1.08952,1.08761,0.000750213,0.000750213,0.000750213
3,2359.62,1.05081,0.82123,1.3376,0.9582,0.77242,0.81439,0.66034,0.76223,0.63565,1.03935,0.00100195,0.00100195,0.00100195
4,3326.96,0.99229,0.73755,1.29599,0.95015,0.90452,0.95488,0.81159,0.60521,0.55928,0.9555,0.00087875,0.00087875,0.00087875
5,4315.5,0.9115,0.64656,1.24315,0.97026,0.92729,0.95995,0.85355,0.51561,0.4566,0.90403,0.000755,0.000755,0.000755
6,5410.66,0.85421,0.59258,1.20405,0.98308,0.93083,0.9638,0.87706,0.45916,0.41576,0.88956,0.00063125,0.00063125,0.00063125
7,6704.4,0.79977,0.54123,1.16946,0.98946,0.93404,0.96984,0.89414,0.41378,0.34812,0.86453,0.0005075,0.0005075,0.0005075
8,8018.68,0.74575,0.49538,1.13396,0.98666,0.93585,0.97129,0.91519,0.34992,0.31929,0.83729,0.00038375,0.00038375,0.00038375
9,9331.56,0.70224,0.45595,1.10891,0.99037,0.93747,0.97339,0.93348,0.3097,0.28982,0.82897,0.00026,0.00026,0.00026
10,10703.8,0.65345,0.4228,1.08801,0.97305,0.94631,0.97431,0.93726,0.28865,0.26924,0.81321,0.00013625,0.00013625,0.00013625
